

Results from heasarc_rc3: Third Reference Catalog of Bright Galaxies
Coordinate system:  Equatorial
|ra        |dec      |lii     |bii     |log_d25|class            |
|02 53 53.7|-72 45 35|291.3074|-41.4912|   1.09|    SPIRAL GALAXY|
|18 23 22.2|-72 44 19|321.7053|-23.7774|   1.25|    SPIRAL GALAXY|
|07 19 48.0|-72 43 00|284.1416|-23.7506|   1.30| IRREGULAR GALAXY|
|20 32 44.8|-72 41 44|321.6896|-33.2704|   1.06|    SPIRAL GALAXY|
|21 03 19.8|-72 41 15|320.7696|-35.4130|   1.06|    SPIRAL GALAXY|
|15 17 25.8|-72 40 14|313.4013|-12.8371|   1.05| IRREGULAR GALAXY|
|21 32 51.7|-72 39 43|319.5363|-37.3734|   1.06|    SPIRAL GALAXY|
|21 01 19.7|-72 38 33|320.8927|-35.2940|   1.53|    SPIRAL GALAXY|
|17 12 36.8|-72 37 27|319.5972|-18.9103|   1.13|    SPIRAL GALAXY|
|11 26 09.8|-72 37 04|296.5837|-10.8054|   1.22| IRREGULAR GALAXY|
|06 43 31.9|-72 35 41|283.4388|-26.3778|   1.25|    SPIRAL GALAXY|
|12 37 11.5|-72 35 30|301.8514| -9.7498|   0.99|ELLIPTICAL GALAXY|
|16 54 59.1|-72 35 11|318.8692|-17.7882|   1.31|    SPIRAL GALAXY|
|06 40 15.0|-72 27 21|283.2534|-26.6068|   1.12|    SPIRAL GALAXY|
|15 05 36.1|-72 25 57|312.7549|-12.1705|   1.11|LENTICULAR GALAXY|
|08 02 28.1|-72 25 25|285.0327|-20.6543|   1.14|    SPIRAL GALAXY|
|21 44 49.7|-72 25 19|319.1732|-38.2570|   1.17|    SPIRAL GALAXY|
|03 37 42.6|-72 23 29|287.8548|-39.4979|   1.14|    SPIRAL GALAXY|
|07 30 44.4|-72 22 52|284.0459|-22.8689|   1.02|    SPIRAL GALAXY|
|14 09 50.2|-72 13 59|308.9031|-10.2763|   1.10|    SPIRAL GALAXY|
|19 20 42.9|-72 13 32|322.9789|-27.9584|   0.97|    SPIRAL GALAXY|
|07 53 51.5|-72 12 53|284.5426|-21.1655|   1.10|    SPIRAL GALAXY|
|20 32 34.5|-72 09 56|322.3047|-33.4007|   1.06|LENTICULAR GALAXY|
|18 38 37.2|-72 09 25|322.6201|-24.7593|   1.02|    SPIRAL GALAXY|
|18 28 51.5|-72 05 31|322.5043|-24.0149|   1.11|LENTICULAR GALAXY|
|19 48 13.7|-72 04 23|323.1017|-30.0685|   1.02|    SPIRAL GALAXY|
|09 04 02.3|-72 03 25|287.3274|-16.4916|   1.01|           GALAXY|
