

Results from heasarc_rc3: Third Reference Catalog of Bright Galaxies
Coordinate system:  Equatorial
|ra        |dec      |lii     |bii     |log_d25|class            |
|09 04 08.4|-72 03 01|287.3271|-16.4813|   1.03|           GALAXY|
|23 09 39.5|-72 01 31|313.3732|-42.9794|   1.05|    SPIRAL GALAXY|
|08 16 33.8|-71 51 35|285.0146|-19.4358|   0.78|           GALAXY|
|02 56 16.2|-71 51 11|290.3704|-42.0966|   1.16|    SPIRAL GALAXY|
|21 00 12.9|-71 48 42|321.8736|-35.5358|   1.05|    SPIRAL GALAXY|
|11 46 17.6|-03 10 46|273.0031| 55.8602|       |    SPIRAL GALAXY|
|18 38 51.8|-71 47 24|323.0196|-24.7018|   1.12|    SPIRAL GALAXY|
|06 52 56.8|-71 45 45|282.6365|-25.5466|   1.22|LENTICULAR GALAXY|
|18 28 10.8|-71 41 40|322.9114|-23.8654|   1.30|    SPIRAL GALAXY|
|18 31 07.4|-71 41 33|322.9753|-24.0891|   1.36|    SPIRAL GALAXY|
|22 06 42.0|-71 41 22|318.6090|-40.0402|   1.07|LENTICULAR GALAXY|
|20 06 41.6|-71 40 54|323.3622|-31.5394|   1.14|    SPIRAL GALAXY|
|22 00 00.9|-71 39 37|319.0702|-39.6509|   0.92|    SPIRAL GALAXY|
|03 49 50.3|-71 38 07|286.3380|-39.2285|   1.66|    SPIRAL GALAXY|
|18 27 53.8|-71 36 35|322.9949|-23.8226|   1.46|LENTICULAR GALAXY|
|18 16 25.2|-71 34 49|322.7553|-22.9434|   1.37|    SPIRAL GALAXY|
|20 23 28.4|-71 33 52|323.2068|-32.8603|   1.35|    SPIRAL GALAXY|
|06 31 02.1|-71 30 05|282.1136|-27.2278|   1.16|    SPIRAL GALAXY|
|06 44 40.7|-71 27 27|282.1934|-26.1459|   1.35|    SPIRAL GALAXY|
|21 50 57.2|-71 24 46|319.8835|-39.2251|   1.24|ELLIPTICAL GALAXY|
|07 45 15.4|-71 24 31|283.4683|-21.4795|   1.19|    SPIRAL GALAXY|
|22 46 07.3|-71 19 25|315.9808|-42.4863|   1.01|LENTICULAR GALAXY|
|16 49 53.8|-71 12 14|319.7969|-16.6558|   1.12|    SPIRAL GALAXY|
|22 46 24.7|-71 11 11|316.0730|-42.6077|   1.04|    SPIRAL GALAXY|
|20 53 36.2|-71 08 21|322.8757|-35.2891|   1.20|    SPIRAL GALAXY|
|18 18 37.9|-71 07 33|323.2835|-22.9791|   0.97|    SPIRAL GALAXY|
|02 05 44.6|-71 06 56|294.5784|-44.7880|   1.09|    SPIRAL GALAXY|
|03 37 55.6|-71 03 36|286.5034|-40.3337|   0.80|           GALAXY|
|20 53 45.2|-71 01 27|323.0030|-35.3400|   1.30|    SPIRAL GALAXY|
|20 11 17.9|-71 00 43|324.0718|-32.0086|   1.07|    SPIRAL GALAXY|
|20 20 45.3|-70 59 14|323.9331|-32.7698|   0.93|LENTICULAR GALAXY|
|21 37 05.3|-70 58 56|321.1360|-38.5306|   1.21|    SPIRAL GALAXY|
|11 01 37.7|-70 57 09|294.1449| -9.9783|   1.13|LENTICULAR GALAXY|
|20 17 43.1|-70 54 55|324.0748|-32.5410|   1.04|    SPIRAL GALAXY|
|02 13 12.3|-70 54 49|293.6833|-44.7174|   1.19|    SPIRAL GALAXY|
|15 19 44.4|-70 54 35|314.5380|-11.4594|   1.17|    SPIRAL GALAXY|
|06 15 46.0|-70 53 42|281.3597|-28.4260|   1.30|    SPIRAL GALAXY|
|20 19 29.7|-70 51 36|324.1058|-32.6944|   1.31|LENTICULAR GALAXY|
|20 18 20.3|-70 51 28|324.1302|-32.6018|   1.45|ELLIPTICAL GALAXY|
|20 18 37.1|-70 51 16|324.1289|-32.6249|   1.25|ELLIPTICAL GALAXY|
|20 19 39.5|-70 50 54|324.1162|-32.7098|   0.99| IRREGULAR GALAXY|
|21 28 38.0|-70 50 06|321.7415|-38.0075|   1.14|LENTICULAR GALAXY|
|20 16 56.1|-70 46 04|324.2609|-32.5055|   1.78|    SPIRAL GALAXY|
|20 16 57.9|-70 44 57|324.2820|-32.5114|   0.83|LENTICULAR GALAXY|
|07 36 13.1|-70 42 37|282.4867|-21.9195|   1.18|    SPIRAL GALAXY|
|07 40 15.1|-70 38 29|282.5414|-21.5826|   1.06|    SPIRAL GALAXY|
|19 43 54.3|-70 37 58|324.7852|-29.8122|   1.18|    SPIRAL GALAXY|
|23 34 28.3|-70 37 54|311.8455|-45.1410|   1.09|    SPIRAL GALAXY|
|22 55 25.5|-70 37 53|315.7391|-43.4974|   1.11|    SPIRAL GALAXY|
|06 46 36.2|-70 36 53|281.2896|-25.8721|   1.04|LENTICULAR GALAXY|
|04 53 18.6|-70 35 55|282.2295|-35.1567|   1.33|           GALAXY|
|19 54 27.0|-70 35 22|324.7672|-30.6882|   1.06|    SPIRAL GALAXY|
|15 29 56.2|-70 35 01|315.4343|-11.6638|   1.37|    SPIRAL GALAXY|
|22 55 56.9|-70 34 23|315.7386|-43.5701|   1.06|LENTICULAR GALAXY|
|20 16 23.6|-70 33 53|324.5073|-32.4985|   0.84|ELLIPTICAL GALAXY|
|20 15 23.7|-70 32 15|324.5566|-32.4216|   1.07|LENTICULAR GALAXY|
|17 24 34.3|-70 28 10|322.0660|-18.6422|   1.18|    SPIRAL GALAXY|
|17 24 37.2|-70 27 04|322.0849|-18.6367|   1.11|    SPIRAL GALAXY|
|19 40 41.5|-70 26 22|325.0191|-29.5520|   1.18|           GALAXY|
|08 03 27.6|-70 21 58|283.0909|-19.6964|   1.19|    SPIRAL GALAXY|
|19 17 41.6|-70 21 38|325.0707|-27.6229|   1.13|    SPIRAL GALAXY|
|20 01 05.0|-70 20 09|324.9959|-31.2656|   1.03|LENTICULAR GALAXY|
|21 50 46.9|-70 20 04|321.0376|-39.8339|   1.48|    SPIRAL GALAXY|
|22 35 27.0|-70 16 52|317.8077|-42.7034|   1.10|    SPIRAL GALAXY|
|19 49 31.4|-70 13 36|325.2238|-30.3043|   1.23|    SPIRAL GALAXY|
|16 20 44.3|-70 08 35|319.0272|-14.1292|   1.43|    SPIRAL GALAXY|
|04 17 15.5|-70 01 28|283.0637|-38.1706|   0.95|    SPIRAL GALAXY|
|00 13 59.5|-70 01 19|307.5858|-46.7665|   1.24|    SPIRAL GALAXY|
|17 16 28.3|-69 59 15|322.1417|-17.8078|   1.04|    SPIRAL GALAXY|
|19 16 53.8|-69 56 47|325.5316|-27.5272|   1.01|    SPIRAL GALAXY|
|18 51 20.8|-69 55 29|325.2551|-25.3507|   1.20|    SPIRAL GALAXY|
|19 44 54.0|-69 52 59|325.6447|-29.9289|   1.12|    SPIRAL GALAXY|
|01 07 24.2|-69 52 35|300.9125|-47.1892|   1.52|    SPIRAL GALAXY|
|23 44 26.4|-69 51 26|311.1731|-46.1842|   1.03|    SPIRAL GALAXY|
|06 15 51.3|-69 50 02|280.1540|-28.3903|   1.11|ELLIPTICAL GALAXY|
|07 36 12.5|-69 47 43|281.5602|-21.6083|   1.09|    SPIRAL GALAXY|
|17 43 30.5|-69 47 06|323.4897|-19.7596|   1.12|    SPIRAL GALAXY|
|07 34 51.2|-69 46 49|281.5021|-21.7132|   1.13| IRREGULAR GALAXY|
|08 22 41.1|-69 46 26|283.3573|-17.9732|   1.10|    SPIRAL GALAXY|
|18 27 09.3|-69 46 14|324.9149|-23.2854|   1.25|    SPIRAL GALAXY|
|05 23 34.7|-69 45 22|280.4652|-32.8883|   3.81|    SPIRAL GALAXY|
|07 37 36.4|-69 45 12|281.5629|-21.4804|   1.01|    SPIRAL GALAXY|
|07 47 29.1|-69 42 33|281.8555|-20.6685|   1.09|    SPIRAL GALAXY|
|21 57 07.0|-69 41 25|321.3149|-40.6482|   1.20|LENTICULAR GALAXY|
|21 23 29.8|-69 41 09|323.2894|-38.1636|   1.10|    SPIRAL GALAXY|
|08 11 40.1|-69 39 11|282.7553|-18.7477|   1.09|    SPIRAL GALAXY|
|10 58 09.5|-69 39 05|293.3195| -8.9221|   1.11|    SPIRAL GALAXY|
|09 13 49.8|-69 38 41|285.9600|-14.3183|   1.52|ELLIPTICAL GALAXY|
|06 03 48.3|-69 34 59|279.8575|-29.4328|   1.39|    SPIRAL GALAXY|
|05 02 05.8|-69 34 08|280.7591|-34.7475|   1.50|    SPIRAL GALAXY|
|05 55 46.5|-69 33 36|279.8563|-30.1339|   1.05|    SPIRAL GALAXY|
|07 36 23.9|-69 31 50|281.2992|-21.5015|   1.74|    SPIRAL GALAXY|
|16 48 40.9|-69 29 42|321.1520|-15.5442|   1.11|    SPIRAL GALAXY|
|07 38 12.0|-69 28 27|281.3017|-21.3340|   1.28|    SPIRAL GALAXY|
|16 41 41.9|-69 22 23|320.8584|-14.9867|   1.24|    SPIRAL GALAXY|
|07 37 12.1|-69 20 05|281.1284|-21.3672|   1.21| IRREGULAR GALAXY|
|09 13 44.7|-69 20 05|285.7161|-14.1176|   1.42|    SPIRAL GALAXY|
|02 44 50.7|-69 19 07|289.2876|-44.6855|   0.63|           GALAXY|
|07 31 43.4|-69 19 05|280.9346|-21.8162|   1.15|    SPIRAL GALAXY|
|07 34 51.5|-69 17 01|280.9999|-21.5437|   1.39|ELLIPTICAL GALAXY|
|11 13 08.5|-69 15 56|294.3806| -8.0421|   1.51|    SPIRAL GALAXY|
|23 03 02.7|-69 12 38|316.1571|-45.0324|   1.12|    SPIRAL GALAXY|
|20 52 06.3|-69 12 14|325.1727|-35.8075|   1.77|    SPIRAL GALAXY|
|04 37 20.7|-69 12 13|281.2002|-36.9264|   1.15|    SPIRAL GALAXY|
|16 48 15.7|-69 08 26|321.4203|-15.2990|   1.26|    SPIRAL GALAXY|
|16 52 18.5|-69 07 33|321.6581|-15.5775|   1.16|LENTICULAR GALAXY|
|23 28 37.2|-69 07 22|313.4356|-46.2799|   1.02|LENTICULAR GALAXY|
|07 21 08.0|-69 07 00|280.4118|-22.6461|   1.06|    SPIRAL GALAXY|
|20 48 56.2|-69 05 36|325.4093|-35.5735|   0.70|           GALAXY|
|08 57 27.4|-69 03 40|284.5399|-15.0502|   1.50|    SPIRAL GALAXY|
|22 58 13.9|-69 03 14|316.7780|-44.9089|   1.14|LENTICULAR GALAXY|
|16 51 29.2|-69 00 18|321.7129|-15.4463|   1.06|    SPIRAL GALAXY|
|07 21 21.0|-69 00 07|280.2991|-22.5939|   1.39|    SPIRAL GALAXY|
|16 43 33.1|-68 58 42|321.2835|-14.8678|   1.09|LENTICULAR GALAXY|
|21 53 21.9|-68 57 16|322.3600|-40.8025|   0.95|    SPIRAL GALAXY|
|02 48 07.3|-68 55 16|288.6221|-44.8265|   0.95|    SPIRAL GALAXY|
|09 46 17.6|-68 54 55|287.5280|-11.7826|   1.34|    SPIRAL GALAXY|
|19 07 33.5|-68 54 38|326.6018|-26.6121|   1.24|ELLIPTICAL GALAXY|
|09 19 54.8|-68 54 35|285.7749|-13.4253|   1.26|    SPIRAL GALAXY|
|22 48 08.9|-68 54 09|317.9098|-44.4694|   1.09|    SPIRAL GALAXY|
|15 55 48.4|-68 52 10|318.3127|-11.7022|   1.13| IRREGULAR GALAXY|
|07 21 56.5|-68 50 45|280.1547|-22.4970|   1.00| IRREGULAR GALAXY|
|07 38 31.9|-68 46 16|280.6082|-21.0564|   1.29|    SPIRAL GALAXY|
|21 52 39.4|-68 45 35|322.6202|-40.8595|   1.08|    SPIRAL GALAXY|
|20 44 33.0|-68 44 50|325.9563|-35.2965|   1.60|    SPIRAL GALAXY|
|06 23 09.1|-68 44 00|278.9467|-27.6890|   1.21|    SPIRAL GALAXY|
|15 54 45.8|-68 43 02|318.3413|-11.5253|   1.05|    SPIRAL GALAXY|
|22 49 46.1|-68 41 31|317.9394|-44.7250|   1.03|    SPIRAL GALAXY|
|18 56 04.7|-68 40 57|326.6893|-25.5524|   1.10|    SPIRAL GALAXY|
|22 12 36.9|-68 39 39|321.2709|-42.3670|   1.24|LENTICULAR GALAXY|
|01 24 54.1|-68 37 06|298.3663|-48.2122|   1.00|    SPIRAL GALAXY|
|19 03 07.6|-68 35 15|326.9019|-26.1724|   1.22|    SPIRAL GALAXY|
|18 56 18.7|-68 34 07|326.8177|-25.5545|   1.18|    SPIRAL GALAXY|
|23 38 05.1|-68 26 35|312.7399|-47.2639|   1.00|LENTICULAR GALAXY|
|02 01 37.1|-68 26 28|293.5159|-47.3835|   1.11|    SPIRAL GALAXY|
|11 39 28.5|-02 41 43|269.9308| 55.4968|       |    SPIRAL GALAXY|
|07 13 25.3|-68 21 34|279.4101|-23.1045|   1.16|    SPIRAL GALAXY|
|18 43 00.8|-68 21 34|326.7862|-24.3168|   0.98|    SPIRAL GALAXY|
|00 17 48.5|-68 21 32|307.5962|-48.4637|   1.07|    SPIRAL GALAXY|
|09 02 23.7|-68 17 55|284.2168|-14.2225|   1.02|           GALAXY|
|21 15 23.1|-68 17 20|325.2899|-38.1041|   1.06|    SPIRAL GALAXY|
|07 56 06.6|-68 16 42|280.7951|-19.3834|   1.16|    SPIRAL GALAXY|
|17 46 31.9|-68 15 41|325.0752|-19.3566|   1.17|    SPIRAL GALAXY|
|09 02 40.3|-68 13 38|284.1768|-14.1573|   1.45|    SPIRAL GALAXY|
|03 47 26.3|-68 13 15|282.8438|-41.3739|   1.17| IRREGULAR GALAXY|
|07 31 18.3|-68 11 17|279.7746|-21.4756|   1.33| IRREGULAR GALAXY|
|01 00 00.1|-68 07 39|301.7169|-48.9805|   1.13|    SPIRAL GALAXY|
|08 25 30.3|-68 07 06|282.0054|-16.9048|   1.20|    SPIRAL GALAXY|
|23 11 43.9|-68 05 41|316.1112|-46.3994|   1.07|LENTICULAR GALAXY|
|23 26 46.0|-68 01 41|314.3953|-47.1712|   0.87|LENTICULAR GALAXY|
|15 46 30.6|-68 01 26|318.1965|-10.5061|   1.27|    SPIRAL GALAXY|
|09 03 37.3|-67 57 59|284.0280|-13.9227|   1.17|    SPIRAL GALAXY|
|09 09 03.3|-67 55 57|284.3414|-13.5122|   1.25|    SPIRAL GALAXY|
|04 43 03.8|-67 55 36|279.4755|-36.8883|   1.09|    SPIRAL GALAXY|
|06 32 21.1|-67 53 45|278.0984|-26.7647|   1.02|LENTICULAR GALAXY|
|08 56 40.3|-67 52 14|283.5271|-14.3697|   1.31|    SPIRAL GALAXY|
|01 59 07.1|-67 52 11|293.5013|-48.0003|   0.93|LENTICULAR GALAXY|
|05 38 13.0|-67 51 12|278.0121|-31.8514|   1.09|    SPIRAL GALAXY|
|23 28 16.7|-67 49 16|314.3538|-47.4206|   1.06|LENTICULAR GALAXY|
|23 27 36.1|-67 48 53|314.4416|-47.3963|   1.20|    SPIRAL GALAXY|
|04 25 48.2|-67 48 49|280.1012|-38.4403|   1.18|    SPIRAL GALAXY|
|04 00 19.4|-67 48 28|281.5226|-40.5805|   1.24|    SPIRAL GALAXY|
|07 45 28.5|-67 48 01|279.9024|-20.0981|   1.05|    SPIRAL GALAXY|
|11 44 58.6|-02 23 51|271.8422| 56.4088|       |LENTICULAR GALAXY|
|01 59 26.2|-67 47 11|293.4116|-48.0655|   1.04|    SPIRAL GALAXY|
|16 06 26.0|-67 43 18|319.8418|-11.5064|   1.21|    SPIRAL GALAXY|
|23 43 49.4|-67 42 56|312.4433|-48.1449|   1.15|    SPIRAL GALAXY|
|07 20 34.1|-67 42 39|278.9421|-22.2794|   1.11|    SPIRAL GALAXY|
|23 14 13.4|-67 41 27|316.1413|-46.8659|   0.95|LENTICULAR GALAXY|
|23 42 29.5|-67 40 26|312.6420|-48.1337|   1.05|LENTICULAR GALAXY|
|23 23 03.2|-67 39 08|315.1145|-47.3309|   1.32|    SPIRAL GALAXY|
|06 32 20.1|-67 38 51|277.8220|-26.7373|   0.97|    SPIRAL GALAXY|
|09 59 45.5|-67 38 32|287.6815|-10.0082|   1.21|    SPIRAL GALAXY|
|18 11 48.2|-67 38 14|326.6541|-21.3106|   1.22|    SPIRAL GALAXY|
|03 59 35.8|-67 38 07|281.3735|-40.7278|   1.54|    SPIRAL GALAXY|
|04 00 54.6|-67 36 42|281.2628|-40.6322|   1.24|    SPIRAL GALAXY|
|08 05 09.8|-67 35 10|280.5339|-18.3152|   1.19|LENTICULAR GALAXY|
|07 34 13.7|-67 34 46|279.2625|-21.0085|   1.03|    SPIRAL GALAXY|
|08 18 08.8|-67 34 40|281.1486|-17.2247|   1.05|    SPIRAL GALAXY|
|07 27 54.0|-67 34 27|279.0379|-21.5745|   1.31|    SPIRAL GALAXY|
|23 34 44.7|-67 32 12|313.7309|-47.9517|   1.00|LENTICULAR GALAXY|
|20 45 19.0|-67 32 00|327.3665|-35.6972|   1.07|           GALAXY|
|22 06 25.3|-67 31 04|322.9725|-42.6240|   0.98|    SPIRAL GALAXY|
|08 18 58.7|-67 30 06|281.1214|-17.1178|   1.14|LENTICULAR GALAXY|
|08 55 36.2|-67 27 04|283.1222|-14.1901|   1.25|    SPIRAL GALAXY|
|10 03 33.6|-67 26 52|287.8533| -9.6328|   1.31| IRREGULAR GALAXY|
|19 18 50.1|-67 26 21|328.3655|-27.5040|   1.05|    SPIRAL GALAXY|
|18 39 57.6|-67 25 36|327.7096|-23.8252|   1.20|    SPIRAL GALAXY|
|22 52 16.1|-67 25 09|318.8309|-45.8569|   0.84|    SPIRAL GALAXY|
|23 35 46.9|-67 23 42|313.6892|-48.1224|   1.05|LENTICULAR GALAXY|
|10 05 48.2|-67 22 39|287.9852| -9.4473|   1.49|ELLIPTICAL GALAXY|
|19 31 28.6|-67 22 11|328.5294|-28.7115|   1.00|    SPIRAL GALAXY|
|21 54 15.9|-67 19 49|324.0895|-41.7805|   1.30|    SPIRAL GALAXY|
|19 31 40.2|-67 19 28|328.5818|-28.7284|   1.15|    SPIRAL GALAXY|
|15 48 51.9|-67 19 24|318.8211|-10.1022|   1.15|    SPIRAL GALAXY|
|21 08 40.2|-67 19 10|326.7346|-37.8901|   1.01|    SPIRAL GALAXY|
|06 56 05.0|-67 18 39|277.8692|-24.4399|   1.02|    SPIRAL GALAXY|
|09 59 29.7|-67 18 13|287.4498| -9.7569|   1.16|    SPIRAL GALAXY|
|18 29 59.0|-67 13 25|327.6558|-22.8438|   1.05|    SPIRAL GALAXY|
|20 38 11.9|-67 11 06|327.9913|-35.1217|   1.15|    SPIRAL GALAXY|
|21 03 29.0|-67 10 49|327.1222|-37.4697|   1.21|ELLIPTICAL GALAXY|
|10 06 02.5|-67 03 52|287.8148| -9.1822|   1.09|    SPIRAL GALAXY|
|21 19 38.1|-67 03 13|326.5251|-38.9732|   0.93|    SPIRAL GALAXY|
|10 08 51.4|-67 01 39|288.0169| -8.9901|   1.49|    SPIRAL GALAXY|
|10 10 13.3|-67 00 18|288.1130| -8.8940|   1.18|ELLIPTICAL GALAXY|
|18 28 38.2|-66 58 54|327.8683|-22.6507|   1.56|    SPIRAL GALAXY|
|03 07 01.1|-66 56 14|284.8874|-45.1483|   1.12|ELLIPTICAL GALAXY|
|07 29 06.1|-66 54 44|278.4084|-21.2455|   0.84|ELLIPTICAL GALAXY|
|16 39 06.9|-66 54 39|322.6603|-13.2356|   1.18|    SPIRAL GALAXY|
|07 29 00.1|-66 53 49|278.3894|-21.2496|   1.26|    SPIRAL GALAXY|
|15 36 26.0|-66 51 32|318.1409| -8.9937|   1.44|    SPIRAL GALAXY|
|22 24 03.9|-66 51 30|322.1781|-44.3635|   0.98|    SPIRAL GALAXY|
|22 14 54.6|-66 50 53|322.9995|-43.6848|   1.65|    SPIRAL GALAXY|
|22 38 39.6|-66 49 42|320.8050|-45.4185|       |           GALAXY|
|03 06 30.2|-66 46 31|284.7767|-45.2990|   1.28|    SPIRAL GALAXY|
|08 58 22.5|-66 43 42|282.7126|-13.5290|   1.31|LENTICULAR GALAXY|
|07 08 30.4|-49 12 46|259.8264|-17.5768|   1.11|ELLIPTICAL GALAXY|
|03 20 05.5|-66 42 09|283.4054|-44.3721|   1.09|    SPIRAL GALAXY|
|23 34 58.8|-66 40 48|314.2660|-48.7314|   1.00|    SPIRAL GALAXY|
|23 19 09.5|-66 40 35|316.3332|-47.9799|   0.92|    SPIRAL GALAXY|
|03 07 40.3|-66 40 10|284.5543|-45.2925|   1.10|    SPIRAL GALAXY|
|18 30 55.6|-66 39 08|328.2793|-22.7755|   1.11|    SPIRAL GALAXY|
|10 10 52.9|-66 38 49|287.9558| -8.5649|   1.17|LENTICULAR GALAXY|
|16 45 08.3|-66 37 02|323.2809|-13.5085|   1.03|    SPIRAL GALAXY|
|16 41 05.2|-66 35 49|323.0359|-13.1840|   1.24|    SPIRAL GALAXY|
|16 45 32.0|-66 34 06|323.3454|-13.5085|   1.11|    SPIRAL GALAXY|
|00 50 03.9|-66 33 10|303.1470|-50.5749|   1.21|LENTICULAR GALAXY|
|06 36 41.0|-66 31 46|276.6457|-26.1717|   1.17|    SPIRAL GALAXY|
|08 14 43.3|-66 30 21|280.0017|-16.9819|   1.14|    SPIRAL GALAXY|
|03 18 15.5|-66 29 51|283.3587|-44.6442|   1.96|    SPIRAL GALAXY|
|07 48 33.4|-66 29 42|278.7564|-19.3050|   1.03|    SPIRAL GALAXY|
|10 21 05.5|-66 29 27|288.7135| -7.8634|   1.10|LENTICULAR GALAXY|
|22 40 23.5|-66 28 44|320.9740|-45.7894|   1.59|    SPIRAL GALAXY|
|18 02 48.0|-66 25 47|327.5233|-20.0586|   1.39|    SPIRAL GALAXY|
|21 17 49.0|-66 25 42|327.3552|-39.0581|   1.11|    SPIRAL GALAXY|
|16 00 12.0|-66 23 00|320.3014|-10.1078|   1.24|    SPIRAL GALAXY|
|07 35 24.6|-66 21 15|278.0819|-20.4648|   1.03|    SPIRAL GALAXY|
|10 59 26.6|-66 20 00|292.0120| -5.8655|   1.17|    SPIRAL GALAXY|
|16 00 16.6|-66 19 23|320.3478|-10.0677|   1.33|    SPIRAL GALAXY|
|15 45 12.1|-66 17 37|319.1894| -9.0734|   1.36|    SPIRAL GALAXY|
|17 15 16.3|-66 15 25|325.3924|-15.7477|   1.00|           GALAXY|
|19 01 28.0|-66 06 39|329.5964|-25.6382|   1.14|    SPIRAL GALAXY|
|02 18 56.0|-66 02 27|289.6609|-48.7714|   1.00|    SPIRAL GALAXY|
|03 56 33.3|-66 02 25|279.7486|-41.7963|   0.93|LENTICULAR GALAXY|
|03 53 34.5|-66 01 02|279.9301|-42.0682|   1.11|ELLIPTICAL GALAXY|
|06 18 20.1|-66 01 02|275.8452|-27.9491|   1.21|    SPIRAL GALAXY|
|23 42 33.2|-65 57 27|313.6818|-49.7084|   1.13|    SPIRAL GALAXY|
|16 57 00.3|-65 57 13|324.5711|-14.0500|   1.30|    SPIRAL GALAXY|
|23 42 43.1|-65 56 39|313.6664|-49.7274|   1.15|    SPIRAL GALAXY|
|03 54 56.5|-65 56 37|279.7489|-41.9868|   1.25|    SPIRAL GALAXY|
|21 21 43.7|-65 56 01|327.7398|-39.6169|   1.27|    SPIRAL GALAXY|
|20 21 00.3|-65 55 24|329.8881|-33.6848|   1.13|    SPIRAL GALAXY|
|04 05 11.8|-65 50 28|278.9446|-41.1238|   0.92|    SPIRAL GALAXY|
|21 21 55.1|-65 50 13|327.8446|-39.6735|   1.10|    SPIRAL GALAXY|
|04 43 01.0|-65 48 53|276.9653|-37.5712|   0.87|    SPIRAL GALAXY|
|19 37 38.3|-65 48 45|330.3314|-29.2726|   1.20| IRREGULAR GALAXY|
|22 22 54.4|-65 48 08|323.4038|-44.9709|   1.12|    SPIRAL GALAXY|
|21 06 22.3|-65 45 16|328.6983|-38.2228|   1.17|    SPIRAL GALAXY|
|16 10 47.2|-65 44 49|321.5419|-10.3671|   1.02| IRREGULAR GALAXY|
|06 08 52.7|-65 43 51|275.4542|-28.8964|   1.28|ELLIPTICAL GALAXY|
|04 33 53.5|-65 42 12|277.2208|-38.4926|   1.08| IRREGULAR GALAXY|
|06 47 35.2|-65 41 56|275.9438|-24.9442|   0.97|    SPIRAL GALAXY|
|22 29 53.8|-65 39 43|322.8756|-45.6013|   1.29|    SPIRAL GALAXY|
|16 16 32.6|-65 39 09|322.0398|-10.7136|   1.14|    SPIRAL GALAXY|
|20 43 21.9|-65 38 48|329.6787|-35.9870|   1.08| IRREGULAR GALAXY|
|19 26 33.8|-65 37 24|330.4812|-28.1260|   0.96|LENTICULAR GALAXY|
|01 02 51.2|-65 36 36|301.0402|-51.4763|   1.55|    SPIRAL GALAXY|
|23 35 10.7|-65 35 12|314.9847|-49.7190|   1.11|    SPIRAL GALAXY|
|22 15 16.1|-65 33 04|324.3796|-44.5222|   1.17|           GALAXY|
|21 55 20.2|-65 30 35|326.0756|-42.8621|   1.21|    SPIRAL GALAXY|
|19 23 32.7|-65 30 25|330.5845|-27.8056|   0.93|LENTICULAR GALAXY|
|22 10 21.8|-65 30 08|324.8656|-44.1486|   1.04|LENTICULAR GALAXY|
|06 55 28.7|-65 29 48|275.9122|-24.1050|   1.07|    SPIRAL GALAXY|
|19 07 13.6|-65 27 45|330.4111|-26.1196|   1.12|LENTICULAR GALAXY|
|21 59 25.7|-65 27 01|325.8274|-43.2505|   1.09|    SPIRAL GALAXY|
|19 07 29.4|-65 25 44|330.4526|-26.1416|   1.05|ELLIPTICAL GALAXY|
|18 38 20.3|-65 25 42|329.7779|-23.1755|   1.04|LENTICULAR GALAXY|
|16 27 47.3|-65 24 54|323.0360|-11.3887|   1.03|    SPIRAL GALAXY|
|06 21 30.5|-65 24 51|275.1981|-27.5720|   0.96|    SPIRAL GALAXY|
|18 04 12.9|-65 24 35|328.5861|-19.8073|   1.11|LENTICULAR GALAXY|
|23 34 52.8|-65 23 48|315.1603|-49.8746|   1.20|    SPIRAL GALAXY|
|08 58 19.3|-65 22 00|281.6225|-12.6764|   1.15|    SPIRAL GALAXY|
|14 13 09.8|-65 20 18|311.3260| -3.8071|   1.84|    SPIRAL GALAXY|
|23 27 14.6|-65 16 17|316.3381|-49.6080|   1.26|    SPIRAL GALAXY|
|20 02 50.5|-65 13 49|330.9475|-31.8931|   1.16|    SPIRAL GALAXY|
|09 15 57.0|-65 13 47|282.7515|-11.1968|   1.14|    SPIRAL GALAXY|
|22 24 33.7|-65 13 41|323.8642|-45.4749|   1.18|LENTICULAR GALAXY|
|00 52 25.4|-65 13 37|302.7646|-51.9010|   1.25|LENTICULAR GALAXY|
|23 03 50.1|-65 12 31|319.5058|-48.3109|   1.16|    SPIRAL GALAXY|
|22 59 31.7|-65 11 36|320.0539|-48.0452|   0.96| IRREGULAR GALAXY|
|17 21 38.8|-65 10 28|326.7071|-15.7336|   1.24|    SPIRAL GALAXY|
|18 48 57.5|-65 10 26|330.3361|-24.1924|   1.60|LENTICULAR GALAXY|
|04 36 20.8|-65 08 32|276.4362|-38.4414|   1.18|LENTICULAR GALAXY|
|22 58 20.4|-65 07 44|320.2597|-48.0171|   1.19|    SPIRAL GALAXY|
|22 45 36.1|-65 07 12|321.7654|-47.1437|   1.28|LENTICULAR GALAXY|
|18 42 02.8|-65 05 50|330.2330|-23.4679|   0.95|LENTICULAR GALAXY|
|09 55 06.0|+14 17 00|221.1889| 47.0567|       |           GALAXY|
|20 47 46.2|-65 05 09|330.2147|-36.5688|   1.07|    SPIRAL GALAXY|
|20 03 38.3|-65 04 34|331.1221|-31.9870|   1.30|           GALAXY|
|22 47 19.9|-65 03 28|321.6309|-47.3132|   1.47|LENTICULAR GALAXY|
|22 47 24.8|-65 03 22|321.6232|-47.3203|   1.44|LENTICULAR GALAXY|
|22 57 49.5|-65 02 14|320.4092|-48.0539|   1.28|    SPIRAL GALAXY|
|06 21 39.0|-65 01 58|274.7716|-27.5202|   0.95|LENTICULAR GALAXY|
|20 46 51.3|-65 01 00|330.3278|-36.4924|   1.15|    SPIRAL GALAXY|
